country,province,region_1,region_2
France,France Other,Atlantique,""
Greece,Vin de Pays de Macédoine,"",""
Spain,Northern Spain,Arlanza,""
Australia,Western Australia,Mount Barker & Margaret River,""
Slovenia,Dolenjska,"",""
France,Beaujolais,Beaujolais-Villages,""
Italy,Northeastern Italy,Friuli Grave,""
US,New York,Long Island,Long Island
France,Rhône Valley,Muscat de Beaumes de Venise,""
US,California,High Valley,""
Italy,Sicily & Sardinia,Contessa Entellina,""
France,Rhône Valley,Vin de Pays des Cévennes,""
US,Illinois,Illinois,""
France,Southwest France,Brulhois,""
South Africa,Piekenierskloof,"",""
France,Bordeaux,Pessac-Léognan,""
France,Burgundy,Montagny,""
Greece,Krania Olympus,"",""
Israel,Dan,"",""
Israel,Negev,"",""
US,California,Siskiyou County,California Other
US,California,Sonoma County,Sonoma
South Africa,Stellenbosch,"",""
Australia,South Australia,McLaren Vale,""
Australia,Tasmania,Tasmania,""
France,Southwest France,Marcillac,""
Italy,Central Italy,Montepulciano d'Abruzzo,""
Italy,Tuscany,Maremma,""
France,Burgundy,Côtes de Nuits Villages,""
Italy,Southern Italy,Gioia del Colle,""
US,California,Lake County-Sonoma County,North Coast
France,France Other,Vin Pétillant,""
France,Bordeaux,Haut-Médoc,""
France,Bordeaux,Barsac,""
Italy,Southern Italy,Fiano di Avellino,""
Austria,Südoststeiermark,"",""
Italy,Northeastern Italy,Isonzo del Friuli,""
Australia,New South Wales,Gundagai,""
Brazil,Pinto Bandeira,"",""
France,Burgundy,Côte de Beaune,""
Australia,Victoria,Beechworth,""
Italy,Northeastern Italy,Del Veneto,""
Portugal,Douro,"",""
France,Southwest France,Cahors,""
France,Burgundy,Coteaux Bourguignons,""
US,New Mexico,New Mexico,""
US,America,"",""
New Zealand,East Coast,"",""
Italy,Veneto,Valpolicella Valpantena Superiore,""
Italy,Northeastern Italy,Venezie,""
New Zealand,South Island,"",""
France,Burgundy,Vin de Pays de Sainte-Marie la Blanche,""
France,Burgundy,Criots-Bâtard-Montrachet,""
US,California,Santa Lucia Highlands,Central Coast
Austria,Austria,"",""
Italy,Central Italy,Trebbiano d'Abruzzo,""
Italy,Veneto,Soave Classico Superiore,""
Italy,Italy Other,"",""
France,Burgundy,Corton-Rognet,""
Australia,South Australia,Henty,""
Italy,Central Italy,Orvieto,""
US,California,Clarksburg,Central Valley
Italy,Sicily & Sardinia,Valli di Porto Pino,""
US,California,Tehama County,California Other
France,Burgundy,Mâcon Solutré,""
Portugal,Vinho da Mesa,"",""
France,Rhône Valley,Cévennes,""
US,New York,Lake Erie,Finger Lakes
Italy,Tuscany,Chianti Colli Fiorentini,""
Australia,Victoria,King Valley,""
Slovenia,Vipavska Dolina,"",""
France,France Other,Roussette de Savoie,""
Italy,Central Italy,Montefalco Sagrantino,""
Italy,Tuscany,Bolgheri Sassicaia,""
Italy,Southern Italy,Moscato di Trani,""
Spain,Northern Spain,Tierra del Viños de Zamora,""
France,Beaujolais,Régnié,""
Chile,Rapel Valley-Casablanca Valley,"",""
New Zealand,Eastern Bays,"",""
Italy,Piedmont,Fara,""
Austria,Wachau,"",""
France,Loire Valley,Menetou-Salon,""
Israel,Upper Galilee,"",""
US,California,Carneros-Napa Valley,Napa
Italy,Northeastern Italy,Mitterberg,""
France,Bordeaux,Bordeaux,""
Spain,Central Spain,Valdepeñas,""
US,New York,New York,New York Other
Austria,Eisenberg,"",""
US,California,Mount Veeder,Napa
France,France Other,Vin de Pays de l'Ile de Beauté,""
Greece,Ioannina,"",""
Italy,Piedmont,Loazzolo,""
Italy,Lombardy,Montenetto di Brescia,""
Argentina,Mendoza Province,Tupungato,""
Czech Republic,Moravia,"",""
France,Bordeaux,Sainte-Foy Bordeaux,""
Chile,Santa Cruz,"",""
Spain,Spanish Islands,Lanzarote,""
South Africa,Olifants River,"",""
US,California,Sonoma County-Monterey County-Napa County,California Other
US,Arizona,Sonoita,""
US,Oregon,Dundee Hills,Willamette Valley
France,Rhône Valley,Côtes du Rhône Villages,""
US,California,Templeton Gap District,Central Coast
Portugal,Minho,"",""
Spain,Northern Spain,Calatayud,""
Austria,Thermenregion,"",""
France,Loire Valley,Saumur,""
France,Beaujolais,Beaujolais Rosé,""
Italy,Veneto,Bardolino Classico,""
Greece,Chalkidiki,"",""
Australia,Victoria,Central Victoria,""
France,Languedoc-Roussillon,Vin de Pays de Montferrand,""
Italy,Piedmont,Barbera d'Alba,""
Greece,Achaia,"",""
US,California,Cienega Valley,Central Coast
New Zealand,Waiheke Island,"",""
Italy,Southern Italy,Gravina,""
Croatia,Hvar,"",""
US,California,Alexander Valley,Sonoma
France,Burgundy,Rully,""
Italy,Sicily & Sardinia,Sardinia,""
France,France Other,Corse,""
Moldova,Codru Region,"",""
